[2016-06-28 13:16:39,042] DEBUG    PluginManager Loading plugin: CryptMessage
[2016-06-28 13:16:39,057] DEBUG    - opensslVerify loaded: <CDLL 'libssl.so.1.0.0', handle 1345780 at 7f660fde9410>
[2016-06-28 13:16:39,058] INFO     - OpenSSL loaded, version: 01000106F
[2016-06-28 13:16:39,059] DEBUG    PluginManager New plugin registered to: UiWebsocket
[2016-06-28 13:16:39,059] DEBUG    PluginManager New plugin registered to: User
[2016-06-28 13:16:39,059] DEBUG    PluginManager Loading plugin: AnnounceZero
[2016-06-28 13:16:39,060] DEBUG    PluginManager New plugin registered to: Site
[2016-06-28 13:16:39,060] DEBUG    PluginManager Loading plugin: Stats
[2016-06-28 13:16:39,061] DEBUG    PluginManager New plugin registered to: UiRequest
[2016-06-28 13:16:39,061] DEBUG    PluginManager Loading plugin: Newsfeed
[2016-06-28 13:16:39,061] DEBUG    PluginManager New plugin registered to: UiWebsocket
[2016-06-28 13:16:39,061] DEBUG    PluginManager New plugin registered to: User
[2016-06-28 13:16:39,062] DEBUG    PluginManager Loading plugin: Trayicon
[2016-06-28 13:16:39,062] DEBUG    PluginManager Loading plugin: Sidebar
[2016-06-28 13:16:39,062] DEBUG    PluginManager New plugin registered to: UiRequest
[2016-06-28 13:16:39,062] DEBUG    PluginManager New plugin registered to: UiWebsocket
[2016-06-28 13:16:39,063] DEBUG    - Config: Config(action='main', batch=False, coffeescript_compiler=None, config_file='phantom.conf', connected_limit=15, data_dir='data', debug=False, debug_gevent=False, debug_socket=False, disable_db=False, disable_encryption=False, disable_sslcompression=True, disable_udp=False, fileserver_ip='*', fileserver_port=15441, homepage='15ubuFHsWWuAM5rhgXHo5TCm4oU6JR2hh7', ip_external=None, keep_ssl_cert=False, log_dir='log', max_files_opened=2048, msgpack_purepython=True, open_browser=None, proxy=None, size_limit=10, stream_downloads=False, tor='disable', tor_controller='127.0.0.1:9051', tor_proxy='127.0.0.1:9050', trackers=['zero://boot3rdez4rzn36x.onion:15441', 'zero://boot.zeronet.io#f36ca555bee6ba216b14d10f38c16f7769ff064e0e37d887603548cc2e64191d:15441', 'udp://tracker.coppersurfer.tk:6969', 'udp://tracker.leechers-paradise.org:6969', 'udp://9.rarbg.com:2710', 'http://tracker.aletorrenty.pl:2710/announce', 'http://explodie.org:6969/announce', 'http://torrent.gresille.org/announce'], trackers_file=False, ui_ip='127.0.0.1', ui_port=53903, ui_restrict=False, use_openssl=True, use_tempfiles=False, verbose=False)
[2016-06-28 13:16:39,063] INFO     - Version: 0.3.6 r1098, Python 2.7.6 (default, Jun 22 2015, 17:58:13) 
[GCC 4.8.2], Gevent: 1.0
[2016-06-28 13:16:39,068] DEBUG    PluginManager New class accepts plugins: Site (Loaded plugins: [<class 'AnnounceZero.AnnounceZeroPlugin.SitePlugin'>, <class 'Site.Site.Site'>])
[2016-06-28 13:16:39,073] DEBUG    - Disabled SSL compression on <CDLL 'libssl.so.1.0.0', handle 1345780 at 7f660fae6e50>
[2016-06-28 13:16:39,073] DEBUG    - Python SSL version: OpenSSL 1.0.1f 6 Jan 2014
[2016-06-28 13:16:39,081] DEBUG    PluginManager New class accepts plugins: User (Loaded plugins: [<class 'Newsfeed.NewsfeedPlugin.UserPlugin'>, <class 'CryptMessage.CryptMessagePlugin.UserPlugin'>, <class 'User.User.User'>])
[2016-06-28 13:16:39,082] DEBUG    PluginManager New class accepts plugins: UiWebsocket (Loaded plugins: [<class 'Sidebar.SidebarPlugin.UiWebsocketPlugin'>, <class 'Newsfeed.NewsfeedPlugin.UiWebsocketPlugin'>, <class 'CryptMessage.CryptMessagePlugin.UiWebsocketPlugin'>, <class 'Ui.UiWebsocket.UiWebsocket'>])
[2016-06-28 13:16:39,082] DEBUG    PluginManager New class accepts plugins: UiRequest (Loaded plugins: [<class 'Sidebar.SidebarPlugin.UiRequestPlugin'>, <class 'Stats.StatsPlugin.UiRequestPlugin'>, <class 'Ui.UiRequest.UiRequest'>])
[2016-06-28 13:16:39,082] INFO     - Creating FileServer....
[2016-06-28 13:16:39,082] INFO     - Creating UiServer....
[2016-06-28 13:16:39,083] DEBUG    - Loading sites...
[2016-06-28 13:16:39,084] DEBUG    - Loaded site 1CQTfYmebR1bP75PCUata417NffWyL6AXf in 0.001s
[2016-06-28 13:16:39,084] DEBUG    - SiteManager added 1 sites
[2016-06-28 13:16:39,084] INFO     gshift Starting gshift...
[2016-06-28 13:16:39,330] INFO     - Removing old SSL certs...
[2016-06-28 13:16:39,330] INFO     - - Starting servers....
[2016-06-28 13:16:39,330] INFO     Ui.UiServer --------------------------------------
[2016-06-28 13:16:39,330] INFO     Ui.UiServer Web interface: http://127.0.0.1:53903/
[2016-06-28 13:16:39,330] INFO     Ui.UiServer --------------------------------------
[2016-06-28 13:16:39,331] DEBUG    - Current RLIMIT_NOFILE: 1024, changing to 2048...
[2016-06-28 13:16:39,424] DEBUG    - Generating RSA cert and key PEM files...Generating a 2048 bit RSA private key
......+++
...................................+++
unable to write 'random state'
writing new private key to 'data/key-rsa.pem'
-----
[2016-06-28 13:16:39,424] DEBUG    FileServer Binding to: *:15441, (msgpack: 0.4.6), supported crypt: ['tls-rsa']
[2016-06-28 13:16:39,424] DEBUG    FileServer Checking sites...
[2016-06-28 13:16:39,424] DEBUG    FileServer Conn# 1 boot.zeronet.io [?] > Connecting...
[2016-06-28 13:16:39,513] DEBUG    Site:1CQTfY..6AXf Found 2 peers, new: 1
