[2016-07-21 15:32:21,242] INFO     FileServer Checking port 15441 using portchecker.co...
[2016-07-21 15:32:21,595] INFO     FileServer [BAD :(] Port closed: Port 15441 is closed.
[2016-07-21 15:32:21,596] INFO     FileServer Trying to open port using UpnpPunch...
[2016-07-21 15:32:21,606] DEBUG    - Found local ips: ['192.168.1.12']
[2016-07-21 15:32:21,606] DEBUG    - Trying using local ip: 192.168.1.12
[2016-07-21 15:32:22,269] INFO     Ui.UiServer --------------------------------------
[2016-07-21 15:32:22,269] INFO     Ui.UiServer Web interface: http://127.0.0.1:53903/
[2016-07-21 15:32:22,269] INFO     Ui.UiServer --------------------------------------
[2016-07-21 15:32:22,270] DEBUG    - Current RLIMIT_NOFILE: 1024, changing to 2048...
[2016-07-21 15:32:26,607] DEBUG    - UDP SSDP M-SEARCH send error using ip 192.168.1.12: timed out
[2016-07-21 15:32:26,608] DEBUG    - No IGD response
[2016-07-21 15:32:26,608] DEBUG    - Trying using local ip: 192.168.1.12
[2016-07-21 15:32:30,163] DEBUG    Ui.UiServer 127.0.0.1 - - [2016-07-21 15:32:30] "POST / HTTP/1.1" 200 182 5.295161
[2016-07-21 15:32:30,250] DEBUG    Site:1CQTfY..6AXf Announced types [] in mode startup to 5 trackers in 10.008s, errors: ['http://tracker.aletorrenty.pl:2710/announce'], slow: ['10s+ zero://boot.zeronet.io#f36ca555bee6ba216b14d10f38c16f7769ff064e0e37d887603548cc2e64191d:15441']
[2016-07-21 15:32:30,251] DEBUG    Site:1CQTfY..6AXf Try to get listModifications from peers: [<Peer:70.122.22.247>, <Peer:46.246.163.35>, <Peer:81.233.136.190>, <Peer:73.69.100.22>, <Peer:194.0.129.18>] since: 1467308953.07
[2016-07-21 15:32:30,252] DEBUG    FileServer Conn# 2 70.122.22.247 [?] > Connecting...
[2016-07-21 15:32:30,252] DEBUG    FileServer Conn# 3 46.246.163.35 [?] > Connecting...
[2016-07-21 15:32:30,252] DEBUG    FileServer Conn# 4 81.233.136.190 [?] > Connecting...
[2016-07-21 15:32:30,327] DEBUG    FileServer Conn# 4 81.233.136.190 [v2] > Crypt out connection using: tls-rsa (server side: False)...
[2016-07-21 15:32:30,459] DEBUG    FileServer Conn# 5 73.69.100.22 [?] > Connecting...
[2016-07-21 15:32:30,711] DEBUG    FileServer Conn# 5 73.69.100.22 [v2] > Crypt out connection using: tls-rsa (server side: False)...
[2016-07-21 15:32:31,608] DEBUG    - UDP SSDP M-SEARCH send error using ip 192.168.1.12: timed out
[2016-07-21 15:32:31,609] DEBUG    - No IGD response
[2016-07-21 15:32:31,609] DEBUG    - Trying using local ip: 192.168.1.12
[2016-07-21 15:32:33,418] DEBUG    Site:1CQTfY..6AXf Queried pex from 2 peers got 7 new peers.
[2016-07-21 15:32:33,975] ERROR    - Unhandled exception
None
[2016-07-21 15:32:33,975] DEBUG    Ui.UiServer Stopping...
[2016-07-21 15:32:33,976] INFO     gshift Stopping gshift...
[2016-07-21 15:32:33,976] ERROR    gshift Error stopping gshift: [Errno 3] No such process
[2016-07-21 15:32:33,976] DEBUG    Ui.UiServer Socket closed: 0
[2016-07-21 15:32:33,976] DEBUG    FileServer Stopped.
[2016-07-21 15:32:34,091] DEBUG    Ui.UiServer Stopped.
[2016-07-21 15:32:34,091] INFO     gshift Stopping gshift...
[2016-07-21 15:32:34,091] ERROR    gshift Error stopping gshift: [Errno 3] No such process
